text,class,predicted_class,polarity,weight,significant_words
"Suami ckp smlm masa Solat Jumaat

Habis solat, Imam baca doa.

Dah elok bahasa Arab, tiba - tiba..

?Ya Allah, bantulah D?",1,1,0.15,1.0,ckp+smlm+masa+solat+baca+doa+elok+bahasa+tiba+tiba+bantulah
"Semua benda nak large sweeping changes immediately, nak ideal conditions baru nak sokong. We can't even change the ruling?",1,1,0.40357142850000005,4.0,benda+nak+large+sweeping+immediately+nak+ideal+baru+nak+sokong+even+change+the+ruling
"BN UMNO pun sama...kata harga barang tak naik lepas GST, tapi tak dapat kawal harga? Sah penipu Najib ni",0,1,0.25,4.0,pun+sama+kata+harga barang+tak+naik+lepas+tapi+tak+dapat+kawal+penipu+ni
With army kids at Batu 10 barrack outside Kuantan . All sporting same hairstyle awaiting Mr Najib?s arrival .  The Pekan inc?,1,1,0,0.0,army+at+barrack+outside+sporting+same+hairstyle+awaiting+arrival
"Many youngsters failed to realized that in order to earn better or get a promotion, u need to log in the hard work first.?",1,0,-0.012499999999999997,4.0,failed+to+realized+that+in+order+to+earn+better+or+get+a+promotion+u+need+to+log+in+the+hard+work+first
A bunch of fans were hauled away by the cops for fighting at the KLFA Stadium carpark after the #SELvNS match. One mat?,1,0,-0.35,2.0,bunch+of+were+hauled+away+by+the+for+fighting+at+the+carpark+after+the+match+mat
Pembangkang licik lari ke tempat selamat - PM Najib - https//t.co/3kVm36ioIK #therakyat,1,0,-0.45,2.0,licik+lari+ke+tempat+selamat
Kenapa pula camtu. Korang maafkan tun mahathir sampai nak letak dia jadi PM boleh aje.  Sekurang2nya letaklah najib jadi TPM. Muhyiddin korang letak jadi menteri kewangan. Zahid biar stay kat KDN.... tul tak. Baru betul memaafkan... ye dak?,0,0,-0.3,3.0,pula+camtu+maafkan+tun mahathir+sampai+nak+letak+dia+jadi+boleh+aje+letaklah+najib+jadi+korang+letak+jadi+menteri+kewangan+biar+stay+kat+tul+tak+betul+memaafkan+ye+dak
"Najib kata saya tak buat apa-apa pembangunan semasa saya jadi PM ? 

Saya setuju dengan dia.

Ini jawapan saya. https/?",0,0,-0.3,2.0,kata+saya+tak+buat+apa-apa+pembangunan+semasa+saya+jadi+setuju+dengan+dia+jawapan+saya
Bloomberg Businessweek?s Najib cover is a masterpiece of layout design journalism. https//t.co/4U3zR5VVHp,0,1,0.5,1.0,cover+is+a+masterpiece+of+layout+design+journalism
"Sensing a renewed Pakatan Harapan (Harapan) coalition challenge under the leadership of Dr Mahathir Mohamad, caretaker?",0,1,0.0,2.0,a+renewed+coalition+challenge+under+the+leadership+of+caretaker
"Yang penting Najib bangga.

https//t.co/H3x3CdheNY",1,1,0.7,1.0,penting+bangga
?Saya tidak mahu menggunakan nama Islam pada parti Islam saya kerana tidak mahu kelemahan parti saya dilihat sebagai kelem?,1,1,0.5,1.0,tidak+mahu+menggunakan+nama+pada+parti+saya+kerana+tidak+mahu+kelemahan+parti+saya+dilihat+sebagai
"ON DAY 2, MAHATHIR LEAVES NAJIB FURTHER BEHIND IN FIGHT FOR HEARTS &amp; MINDS OF MALAYSIANS WILY EX-PM APPEARS IN EMOTIONA?",0,1,0,0.0,amp
"#undinegaraku Drama minta simpati. Kedai roti lingkup la, ada orang sabotaj la. Pasal pesawat kena sabotaj tu, rupanya tayar?",0,0,-0.46666666666666673,3.0,undinegaraku+minta+simpati+roti+lingkup+la+ada+orang+sabotaj+la+pesawat+kena+sabotaj+tu+rupanya+tayar
Yg najib skrg ni salah dia buat ttp mata je ke?,0,0,-0.9,1.0,najib+skrg+ni+salah+dia+buat+ttp+mata+je+ke
Maruah dalam poket Najib.,0,1,0,0.0,dalam+poket
"I want PH to win cos;
1)Only way to get to the bottom of the 1MDB story.
2)Review of Najib's megaprojects can give us bett?",0,1,0.8,1.0,want+to+win+way+to+get+to+the+bottom+of+the+story+of+'s+megaprojects+can+give+bett
Brahim dah tak boleh bawa masuk Australia guys. Please take note. https//t.co/8Mg3siC5nG,1,0,-0.3,1.0,dah+tak+boleh+bawa+masuk+take+note
Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se?,0,0,-0.3,1.0,tu+ni+kita+kena+tolak+dan+parti+mainkan+isu+sentimen+perkauman+parti+lagi+mainkan+isu+se
"Ini bukan isu real politik atau taktikal. Bila SPR sebagai pengadil berat sebelah, demokrasi tempang.

Negara kita adalah n?",0,0,-0.05,4.0,bukan+isu+real+politik+atau+taktikal+sebagai+pengadil+berat sebelah+demokrasi+tempang+kita+adalah+n
"Tun M awalý dah jangka benda ni jdi. Dlm ucapan beliau sblm ni, ""Najib akan beli caloný Pakatan""",0,1,0,0.0,awalý+dah+jangka+benda+ni+jdi+ucapan+beliau+sblm+ni+akan+beli+caloný
"SISTEM PENDIDIKAN NEGARA DEKAT DI HATI NAJIB RAZAK,ÿPM https//t.co/szYT6kn2sr https//t.co/mAecKRYx5m",1,1,0,0,
"Kalau kau kecewa dengan Najib Razak. 

Kalau kau kecewa dengan keadaan Malaysia sekarang ni.

JANGANLAH UNDI PARTI PAS

#GE14",0,0,-0.6,2.0,kau+kecewa+dengan+kau+kecewa+dengan+keadaan+sekarang+ni
"Last election, the narrative used by BN folks to placate the angry public was that GE13 would be Najib's last election. Th?",0,0,-0.25,2.0,election+the+narrative+used+by+to+placate+the+angry+public+that+would+be+'s+last+election
"Ni ke cara Najib berkempen?Macam kempen ketua darjah sekolah rendah jer guna taktik hina pihak lawan.Oh ya lah,?",0,0,-0.8,1.0,ke+cara+berkempen+kempen+ketua+darjah+sekolah+rendah+jer+guna+taktik+hina+pihak+ya+lah
"Pegangan BN adalah supaya calon yang dipilih mampu terus membawa suara dan kepentingan rakyat, dan untuk mereka diadili oleh pengundi atas khidmat jasa mereka sepanjang menjadi wakil rakyat berbeza dengan... https//t.co/ST3zC2QZ5l",1,1,0.25,6.0,adalah+supaya+calon+yang+dipilih+mampu+terus+membawa+suara+dan+kepentingan+rakyat+dan+untuk+mereka+diadili+oleh+pengundi+atas+khidmat+jasa+mereka+sepanjang+menjadi+wakil+rakyat+berbeza+dengan
"The problem with Opposition today

1) U only present urself as alternate to BN. U dont give voters a POSITIVE REASON to vote?",1,1,0.2,1.0,problem+with+today+only+present+urself+alternate+to+dont+give+a+to+vote
Era Perubahan Parlimen Ketereh di Zaman Datuk Seri Najib Tun Razak https//t.co/WOGHngM1yh via,1,1,0,0.0,di
"Too far-fetch to expect Umno to push Najib out of the party after GE, but watch out when Zahid is sidelined, H20 and SSK get?",1,0,-0.5,1.0,far-fetch+to+expect+to+push+out+of+the+party+after+but+watch+out+when+is+sidelined+and+get
Najib serah borang pencalonan PRU14 https//t.co/fril5P3lXV https//t.co/3TEEP6zhZD,1,1,0,0.0,serah+borang+pencalonan
Najib Ullah,1,1,0,0,
Hahahaha cakap dgn cermin ke DS Najib? Siapa yg kuat spin ckp pusing lakon sana sini,0,1,0.3,1.0,cakap+dgn+cermin+ke+yg+kuat+spin+ckp+pusing+lakon+sana+sini
Saya setia bersama Pekan ? Najib https//t.co/ySp7qgh18Y https//t.co/U8TlY0Q5eI,1,1,0.6,1.0,setia+bersama
"Najib Tekad Terus Bela, Perkasa Golongan Pesawah https//t.co/xCTPMPFJIQ https//t.co/vOa1fUsZjk",1,1,0,0,
Replace Najib with Tok Mat of Negeri Sembilan. Easy win for BN.,1,1,0.8,1.0,with+of+win+for
"Semalam bila aku tengok orang BN yang datang kat rumah pakcik aku, lepastu kawan kawan lain datang dan bahan diorang ?wey b?",1,1,0,0.0,bila+aku+tengok+orang+yang+datang+kat+rumah+pakcik+aku+lepastu+kawan+kawan+lain+datang+dan+bahan+diorang+wey+b
"DATUK SERI NAJIB UCAP TERIMA KASIH KEPADA PETUGAS, ANGGOTA KESELAMATAN HARI PENAMAAN CALON
#PRU14
#MalaysiaMengundi
#YangSah?",1,1,0,0,
Najib is literally promising flying cars now. https//t.co/X3pV3Oty4f,0,1,0.2,1.0,is+literally+promising+flying+now
"SISTEM PENDIDIKAN NEGARA DEKAT DI HATI NAJIB RAZAK,ÿPM https//t.co/szYT6kn2sr https//t.co/mAecKRYx5m",1,1,0,0,
"Jgn risau, bro. Kalo DAP pun PAS xmau, apatahlagi BN. 

Tapi yg patut korang risau adalah Tun M.?",1,0,-0.2,2.0,risau+bro+pun+xmau+apatahlagi+yg+patut+korang+risau+adalah
You are representing your party. Samalah macam orang tak suka Najib dan tolak BN.  Aduh simple je benda ni jangan rumitkan.,0,0,-0.09999999999999998,3.0,are+representing+your+party+macam+orang+tak+suka+dan+tolak+simple+je+benda+ni+jangan+rumitkan
"Dulu PRU hadapi masalah blackout.

Kali ini, PRU hadapi masalah IC.

Najib amat pandai sekali. Nak menang tanpa bertanding. Ini lah sikap BN. https//t.co/bbDt6mPqd4",0,0,-0.1,5.0,hadapi+masalah+blackout+ini+hadapi+masalah+amat+pandai+sekali+menang+tanpa+bertanding+lah+sikap
blast from the past Najib's 1MDB (1 More D^4 Bloody Bastard Blogger). https//t.co/AdzptXS6PJ,0,0,-0.01,1.0,blast+from+the+past+'s
Aku sedih la siapa yang buat fake account semata-mata nak backup najib,0,0,-0.55,2.0,sedih+la+siapa+yang+buat+fake+account+semata-mata+nak+backup+najib
"Since 2010  has been running $378b deficit budget PLUS (I bet u didn't know this) $97b in Supp Budgets. Under Tun &amp; AAB, PMO budgets were tops RM4b, Najib's average $16b (slush fund). With so much fat to cut, yr &amp; my grandmothers wud know where to take d knife to! https//t.co/hQgs5YLqWm",0,0,-0.18333333333333335,3.0,been+running+378b+deficit+budget+bet+u+did+know+this+97b+in+amp+were+'s+average+16b+slush+fund+so+much+fat+to+cut+yr+amp+my+wud+know+where+to+take+d+knife+to
Due to  Najib &amp; Felda Chairman Shahrir forcing investment in crony Pe?,0,0,-0.5,1.0,to+amp+forcing+investment+in+crony
b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,-0.3,1.0,tu+ni+kita+kena+tolak+dan+parti+mainkan+isu+sentimen+perkauman+parti+lagi+mainkan+isu+se
b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,-0.3,1.0,tu+ni+kita+kena+tolak+dan+parti+mainkan+isu+sentimen+perkauman+parti+lagi+mainkan+isu+se
"b'My answer to Can show me proof as a PM, what Tun.Dr, Mahathir and PM Najib Razak have contributed to the Indian com https://t.co/7RAAOgK4r0'",1,1,0.4,1.0,answer+to+show+me+proof+a+what+and+have+contributed+to+the+com
"b""RT @warabiyah: Pandikar will be speaker again if BN wins. And cabinet will be same old fat corrupted Najib's baruahs. I don't want that. So""",0,0,-0.3,2.0,b+warabiyah+will+be+speaker+again+if+cabinet+will+be+same+old+fat+corrupted+'s+baruahs+do+want+that
"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",1,1,0.15,1.0,ckp+smlm+masa+solat+baca+elok+bahasa+tiba+bantulah
b'RT @the50d: Hi! Sy merupakan graduan medical line tajaan JPA yg kini menganggur hampir 2 tahun. Bkn sy sorang je hampir 4 ribu kwn2 satu co',0,1,0,0.0,merupakan+graduan+medical+line+tajaan+yg+kini+menganggur+hampir+tahun+sy+sorang+je+hampir+ribu+kwn2+satu+co
"b'RT @hanimomo: Too far-fetch to expect Umno to push Najib out of the party after GE, but watch out when Zahid is sidelined, H20 and SSK get'",1,0,-0.5,1.0,far-fetch+to+expect+to+push+out+of+the+party+after+but+watch+out+when+is+sidelined+and+get
b'RT @manivarman1204: Those who talk so big about BN and Najib. Think twice before you vote https://t.co/GLfRzJGkhZ',0,1,0.0,1.0,who+talk+so+big+about+and+twice+before+you+vote
"b'@FaridZamri @NajibRazak Kerje ko hebat. Najib bangga negara kononnya bagus, ekonomi terbaik.. pendapatan rakyat men https://t.co/5pJ56dyhOh'",1,1,0.7333333333333334,3.0,b+ko+hebat+bangga+negara+kononnya+bagus+ekonomi+terbaik+pendapatan+rakyat+men
"b""RT @khalidkarim: I want PH to win cos;\n1)Only way to get to the bottom of the 1MDB story.\n2)Review of Najib's megaprojects can give us bett""",0,1,0.8,1.0,b+khalidkarim+want+to+win+n1+way+to+get+to+the+bottom+of+the+of+'s+megaprojects+can+give+bett
b'Same here...\n#Truth  https://t.co/rWyAaXpjka',0,1,0,0.0,here+n
"b""RT @amirhimself: Last election, the narrative used by BN folks to placate the angry public was that GE13 would be Najib's last election. Th""",0,0,-0.25,2.0,b+amirhimself+election+the+narrative+used+by+to+placate+the+angry+public+that+would+be+'s+last+election
"b'I will remain loyal to Pekan, says Najib #GE14 #MalaysiMemilih https://t.co/sSzxHsy0VN'",1,1,0.6,1.0,will+remain+loyal+to
b'@bukanaimantino @sarinahhh98 @SokanMalaya07 @Khairykj @jaiothman @rafiziramli @chedetofficial X kn jwp punya..puli. https://t.co/0w8ibVJkqw',0,1,0,0.0,b+bukanaimantino+sarinahhh98+jaiothman+rafiziramli+chedetofficial+kn+jwp+punya..puli
b'Jatuh kan najib sahaja..klu dia masih memerintah..duit akan jatuh lagi..kos hidup akan tggi..nak beli RUMAH..jangan harapp lahh siall',0,0,-0.5,2.0,kan+najib+sahaja..klu+dia+masih+memerintah..duit+akan+jatuh+lagi..kos+hidup+akan+tggi..nak+beli+harapp+lahh+siall
"b""RT @khalidkarim: I want PH to win cos;\n1)Only way to get to the bottom of the 1MDB story.\n2)Review of Najib's megaprojects can give us bett""",0,1,0.8,1.0,b+khalidkarim+want+to+win+n1+way+to+get+to+the+bottom+of+the+of+'s+megaprojects+can+give+bett
b'RT @Actor_Vivek: Wrong news! Some one replaced the photo. It was originally Dr.Tun.M pic only. I m not a politician. But just a fan of Dr.M',0,0,-0.5,0.75,news+one+replaced+the+photo+originally+pic+only+m+not+a+politician+just+a+fan+of
"b'RT @Abam_Win: #undinegaraku Drama minta simpati. Kedai roti lingkup la, ada orang sabotaj la. Pasal pesawat kena sabotaj tu, rupanya tayar'",0,0,-0.46666666666666673,3.0,undinegaraku+minta+simpati+roti+lingkup+la+ada+orang+sabotaj+la+pesawat+kena+sabotaj+tu+rupanya+tayar
"b""RT @amirhimself: Last election, the narrative used by BN folks to placate the angry public was that GE13 would be Najib's last election. Th""",0,0,-0.25,2.0,b+amirhimself+election+the+narrative+used+by+to+placate+the+angry+public+that+would+be+'s+last+election
"b'@FaridZamri @NajibRazak Sejak bila aku maki hamun Najib? Bg satu ayat, mana yg aku maki hamun najib? Aku cuma kata https://t.co/d8KwcLZhUy'",0,1,0,0.0,b+bila+aku+maki+hamun+satu+ayat+mana+yg+aku+maki+hamun+najib+cuma+kata
b'@NajibRazak memang tidak ku salah sangka.. engkau najib mempunyai hati yang sungguh busuk akibat dari terlalu banya https://t.co/ZEDPyBjoIp',0,1,0.7,2.0,b+memang+tidak+ku+salah+sangka+engkau+najib+mempunyai+hati+yang+sungguh+busuk+akibat+dari+terlalu+banya
b'RT @BintangRamah: @NajibRazak Kesilapan Tun paling besar ialah naikkan DS najib..',0,1,0,0.0,paling+besar+ialah+naikkan+najib
