word,polarity,weight
suami,0,0
ckp,0,0
smlm,0,0
masa,0,0
solat,0,0
jumaat,0,0
habis,0,0
imam,0,0
baca,0,0
doa,0,0
dah,0,0
elok,0,0
bahasa,0,0
arab,0,0
tiba,0,0
ya,0,0
allah,0,0
bantulah,0.15,1
semua,0,0
benda,0,0
nak,0,0
large,0.214285714,1
sweeping,0,0
change,-0.5,1
immediately,0,0
ideal,0.9,1
condition,0,0
baru,0,0
sokong,1,1
we,0,0
can't,-2,1
even,0,0
the,0,0
ruling?,0,0
bn,0,0
umno,0,0
pun,0,0
sama,0,0
kata,0,0
harga barang,-0.5,1
tak,-2,1
naik,0,0
lepas,0,0
gst,-0.5,1
tapi,-2,1
dapat,0.3,1
kawal,0.2,1
sah,0.1,1
penipu,-1,1
najib,0,0
ni,0,0
with,0,0
army,0,0
kid,0,0
at,0,0
batu,0,0
barrack,0,0
outside,0,0
kuantan,0,0
all,0,0
sporting,0,0
same,0,0
hairstyle,0,0
awaiting,0,0
mr,0,0
arrival,0,0
pekan,0.1,1
many,0.5,1
youngster,0,0
failed,-0.5,1
to,0,0
realized,0,0
that,0,0
in,0,0
order,0,0
earn,0,0
better,0.5,1
or,0,0
get,0,0
a,0,0
promotion,0,0
u,0,0
need,0,0
log,0,0
hard,-0.3,1
work,0,0
first.?,0,0
bunch,0,0
of,0,0
fan,0,0
were,0,0
hauled,-0.5,1
away,0,0
by,0,0
cop,0,0
for,0,0
fighting,-0.2,1
klfa,0,0
stadium,0,0
carpark,0,0
after,0,0
selvns,0,0
match,0,0
one,0,0
mat?,0,0
pembangkang,-2,1
licik,-1,1
lari,0,0
ke,0,0
tempat,0,0
selamat,0.1,1
pm,0,0
kenapa,0,0
pula,0,0
camtu,0,0
korang,0,0
maafkan,0,0
tun mahathir,-2,1
mahathir,-2,1
sampai,0,0
letak,0,0
dia,0,0
jadi,0,0
boleh,0.3,1
aje,0,0
sekurang2nya,0,0
letaklah,0,0
tpm,0,0
muhyiddin,-2,1
menteri,0,0
kewangan,0,0
zahid,0,0
biar,0,0
stay,0,0
kat,0,0
kdn,0,0
tul,0,0
betul,0.5,1
memaafkan,0.1,1
ye,0,0
dak,-2,1
saya,0,0
buat,0,0
apa-apa,0,0
pembangunan,0.5,1
semasa,0,0
setuju,0.1,1
dengan,0,0
ini,0,0
jawapan,0,0
bloomberg,0,0
businessweek,0,0
cover,0,0
is,0,0
masterpiece,0.5,1
layout,0,0
design,0,0
journalism,0,0
sensing,0,0
renewed,0.1,1
pakatan harapan,-2,1
coalition,0,0
challenge,-0.1,1
under,0,0
leadership,0,0
dr,0,0
mohamad,0,0
caretaker?,0,0
yang,0,0
penting,0,0
bangga,0.7,1
tidak,-2,1
mahu,0,0
menggunakan,0,0
nama,0,0
islam,0,0
pada,0,0
parti,0,0
kerana,0,0
kelemahan,-0.5,1
dilihat,0,0
sebagai,0,0
kelem?,0,0
on,0,0
day,0,0
leaf,0,0
further,0,1
behind,-0.4,1
fight,-0.1,1
heart,0,0
amp,0,0
mind,0,0
malaysian,0,0
wily,0,0
ex-pm,0,0
appears,0,0
emotiona?,0,0
undinegaraku,0,0
drama,0,0
minta,0,0
simpati,0.2,1
kedai,0,0
roti,0,0
lingkup,0,0
la,0,0
ada,0,0
orang,0,0
sabotaj,-0.8,1
pasal,0,0
pesawat,0,0
kena,0,0
tu,0,0
rupanya,0,0
tayar?,0,0
yg,0,0
skrg,0,0
salah,-0.9,1
ttp,0,0
mata,0,0
je,0,0
maruah,0,0
dalam,0,0
poket,0,0
i,0,0
want,0,0
ph,-2,1
win,0.8,1
co,0,0
only,0,0
way,0,0
bottom,0,0
1mdb,-0.7,1
story,0,0
review,0,0
's,0,0
megaprojects,0,0
can,0,0
give,0,0
bett?,0,0
brahim,0,0
bawa,0,0
masuk,0,0
australia,0,0
guy,0,0
please,0,0
take,0,0
note,0,0
sebab,0,0
pru,0,0
kita,0,0
tolak,0,0
dan,0,0
pa,0,0
satu,0,0
mainkan,0,0
isu,0,0
sentimen,0,0
perkauman,-0.3,1
lagi,0,0
se?,0,0
bukan,0,0
real,0.2,1
politik,-0.1,1
atau,0,0
taktikal,0,0
bila,0,0
spr,0,0
pengadil,0,0
berat sebelah,-0.6,1
demokrasi,0.3,1
tempang,0,0
negara,0,0
adalah,0,0
n?,0,0
m,0,0
awalý,0,0
jangka,0,0
jdi,0,0
dlm,0,0
ucapan,0,0
beliau,0,0
sblm,0,0
akan,0,0
beli,0,0
caloný,0,0
sistem,0,0
pendidikan,0,0
dekat,0,0
di,0,0
hati,0,0
razak,0,0
kalau,0,0
kau,0,0
kecewa,-0.6,1
keadaan,0,0
malaysia,0,0
sekarang,0,0
janganlah,-2,1
undi,0,0
ge14,0,0
last,0,0
election,0,0
narrative,0,0
used,0,0
folk,0,0
placate,0,0
angry,-0.5,1
public,0,1
wa,0,0
ge13,0,0
would,0,0
be,0,0
th?,0,0
cara,0,0
berkempen,0,0
macam,0,0
kempen,0,0
ketua,0,0
darjah,0,0
sekolah,0,0
rendah,0,0
jer,0,0
guna,0,0
taktik,0,0
hina,-0.8,1
pihak,0,0
lawan.oh,0,0
lah,0,0
pegangan,0,0
supaya,0,0
calon,0,0
dipilih,0,0
mampu,0.3,1
terus,0.1,1
membawa,0,0
suara,0,0
kepentingan,0.2,1
rakyat,0,0
untuk,0,0
mereka,0,0
diadili,0.1,1
oleh,0,0
pengundi,0,0
atas,0,0
khidmat,0.2,1
jasa,0.6,1
sepanjang,0,0
menjadi,0,0
wakil,0,0
berbeza,0,0
problem,-0.2,1
opposition,-2,1
today,0,0
present,0,0
urself,0,0
alternate,0,0
dont,-2,1
voter,0,0
positive,0.3,1
reason,0,0
vote?,0,0
era,0,0
perubahan,0,0
parlimen,0,0
ketereh,0,0
zaman,0,0
datuk seri,0,0
too,0,0
far-fetch,0,0
expect,0,0
push,0,0
out,0,0
party,0,0
ge,0,0
but,0,0
watch,0,0
when,0,0
sidelined,-0.5,1
h20,0,0
and,0,0
ssk,0,0
get?,0,0
serah,0,0
borang,0,0
pencalonan,0,0
pru14,0,0
ullah,0,0
hahahaha,0.2,1
cakap,0,0
dgn,0,0
cermin,0,0
d,0,0
siapa,0,0
kuat,0.3,1
spin,0,0
pusing,0,0
lakon,0,0
sana,0,0
sini,0,0
setia,0.6,1
bersama,0,0
tekad,0.3,1
bela,0,0
perkasa,0,0
golongan,0,0
pesawah,0,0
replace,0,0
